"region_id";"region";"tdwg4_id";"tdwg4_name"
580;"Raiatea, French Polynesia (Society Islands)";"SCI-OO";"Society Is."
581;"Tahaa, French Polynesia (Society Islands)";"SCI-OO";"Society Is."
582;"Tetiaroa, French Polynesia (Society Islands)";"SCI-OO";"Society Is."
583;"Tahiti, French Polynesia (Society Islands)";"SCI-OO";"Society Is."
584;"Tupai, French Polynesia (Society Islands)";"SCI-OO";"Society Is."
588;"Fakahina, French Polynesia (Tuamotu Archipelago)";"TUA-OO";"Tuamotu"
589;"Fangataufa, French Polynesia (Tuamotu Archipelago)";"TUA-OO";"Tuamotu"
590;"Hao, French Polynesia (Tuamotu Archipelago)";"TUA-OO";"Tuamotu"
592;"Kaukura, French Polynesia (Tuamotu Archipelago)";"TUA-OO";"Tuamotu"
594;"Makatea, French Polynesia (Tuamotu Archipelago)";"TUA-OO";"Tuamotu"
595;"Manihi, French Polynesia (Tuamotu Archipelago)";"TUA-OO";"Tuamotu"
596;"Matureivavao, French Polynesia (Tuamotu Archipelago)";"TUA-OO";"Tuamotu"
597;"Moruroa, French Polynesia (Tuamotu Archipelago)";"TUA-OO";"Tuamotu"
600;"Niau, French Polynesia (Tuamotu Archipelago)";"TUA-OO";"Tuamotu"
601;"Rangiroa, French Polynesia (Tuamotu Archipelago)";"TUA-OO";"Tuamotu"
603;"Taiaro, French Polynesia (Tuamotu Archipelago)";"TUA-OO";"Tuamotu"
604;"Takapoto, French Polynesia (Tuamotu Archipelago)";"TUA-OO";"Tuamotu"
605;"Tenararo, French Polynesia (Tuamotu Archipelago)";"TUA-OO";"Tuamotu"
606;"Tenarunga, French Polynesia (Tuamotu Archipelago)";"TUA-OO";"Tuamotu"
607;"Tikehau, French Polynesia (Tuamotu Archipelago)";"TUA-OO";"Tuamotu"
610;"Tepoto North, French Polynesia (Tuamotu Archipelago)";"TUA-OO";"Tuamotu"
611;"Toau, French Polynesia (Tuamotu Archipelago)";"TUA-OO";"Tuamotu"
612;"Vahanga, French Polynesia (Tuamotu Archipelago)";"TUA-OO";"Tuamotu"
728;"Tonga";"TON-OO";"Tonga"
747;"French Frigate Shoals";"HAW-HI";"Hawaiian Is."
748;"Hawai'i (Big Island)";"HAW-HI";"Hawaiian Is."
749;"Kaho'olawe";"HAW-HI";"Hawaiian Is."
750;"Ka'ula Rock";"HAW-HI";"Hawaiian Is."
751;"Kaua'i";"HAW-HI";"Hawaiian Is."
752;"Kure";"HAW-HI";"Hawaiian Is."
753;"Läna'i";"HAW-HI";"Hawaiian Is."
754;"Laysan";"HAW-HI";"Hawaiian Is."
755;"Lehua";"HAW-HI";"Hawaiian Is."
756;"Lisianski";"HAW-HI";"Hawaiian Is."
757;"Maui";"HAW-HI";"Hawaiian Is."
758;"Midway";"HAW-HI";"Hawaiian Is."
759;"Moloka'i";"HAW-HI";"Hawaiian Is."
760;"Nihoa";"HAW-HI";"Hawaiian Is."
761;"Ni'ihau";"HAW-HI";"Hawaiian Is."
762;"O'ahu";"HAW-HI";"Hawaiian Is."
763;"Pearl & Hermes";"HAW-HI";"Hawaiian Is."
768;"Johnston Island";"HAW-JI";"Johnston I."
814;"Fanuatapu";"SAM-WS";"Samoa"
815;"Namua";"SAM-WS";"Samoa"
816;"Nuulua";"SAM-WS";"Samoa"
817;"Nuutela";"SAM-WS";"Samoa"
1252;"Easter Island, Chile";"EAS-OO";"Easter Is."
205;"Alejandro Selkirk Island, Juan Fernadez Islands";"JNF-OO";"Juan Fernández Is."
242;"Robinso Crusoe Island, Juan Fernandez Islands";"JNF-OO";"Juan Fernández Is."
244;"Santa Clara Island, Juan Fernadez Islands";"JNF-OO";"Juan Fernández Is."
323;"Galapagos";"GAL-OO";"Galápagos"
338;"Clipperton Island";"CPI-CL";"Clipperton I."
516;"Norfolk Island";"NFK-NI";"Norfolk I."
971;"Española";"GAL-OO";"Galápagos"
972;"Fernandina";"GAL-OO";"Galápagos"
973;"Floreana";"GAL-OO";"Galápagos"
974;"Genovesa";"GAL-OO";"Galápagos"
975;"Isabela";"GAL-OO";"Galápagos"
977;"Pinta";"GAL-OO";"Galápagos"
978;"Pinzón";"GAL-OO";"Galápagos"
979;"San Cristóbal";"GAL-OO";"Galápagos"
980;"Santa Cruz";"GAL-OO";"Galápagos"
981;"Santa Fé";"GAL-OO";"Galápagos"
982;"Santiago";"GAL-OO";"Galápagos"
1234;"Juan Fernandez Islands";"JNF-OO";"Juan Fernández Is."
